"ids","entitynum","region","site","londd","latdd","altitude","samplenum","agebp","variable","value","group","ntNA"
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16525,7307,"Onagraceae",NA,"Shrub",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16525,7307,"Picea",1.28,"Trees",12
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16525,7307,"Pinus",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16525,7307,"Populus",NA,"Herb",6
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16525,7307,"Salix",2.05,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16525,7307,"Saxifragaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16525,7307,"Sphagnum",1.28,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16525,7307,"Thalictrum",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Abies",NA,"Herb",0
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Alnus",38.69,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Artemisia",NA,"Herb",13
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Betula",41.07,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Brassicaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Cyperaceae",11.61,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Fabaceae",NA,"Shrub",2
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Onagraceae",NA,"Shrub",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Picea",1.19,"Trees",12
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Pinus",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Populus",NA,"Herb",6
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Salix",0.3,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Saxifragaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Sphagnum",0.6,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16526,8076,"Thalictrum",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Abies",NA,"Herb",0
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Alnus",10.98,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Artemisia",0.58,"Herb",13
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Betula",52.02,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Brassicaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Cyperaceae",18.21,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Fabaceae",NA,"Shrub",2
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Onagraceae",NA,"Shrub",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Picea",1.45,"Trees",12
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Pinus",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Populus",0.87,"Herb",6
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Salix",1.45,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Saxifragaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Sphagnum",1.16,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16527,9100,"Thalictrum",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Abies",NA,"Herb",0
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Alnus",1.52,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Artemisia",0.76,"Herb",13
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Betula",48.22,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Brassicaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Cyperaceae",28.68,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Fabaceae",NA,"Shrub",2
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Onagraceae",NA,"Shrub",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Picea",4.57,"Trees",12
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Pinus",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Populus",0.25,"Herb",6
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Salix",1.27,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Saxifragaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Sphagnum",1.52,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16528,9388,"Thalictrum",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Abies",NA,"Herb",0
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Alnus",0.69,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Artemisia",NA,"Herb",13
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Betula",60.83,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Brassicaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Cyperaceae",18.2,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Fabaceae",NA,"Shrub",2
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Onagraceae",NA,"Shrub",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Picea",3.23,"Trees",12
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Pinus",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Populus",0.46,"Herb",6
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Salix",1.38,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Saxifragaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Sphagnum",3,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16529,9529,"Thalictrum",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Abies",NA,"Herb",0
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Alnus",2.58,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Artemisia",1.55,"Herb",13
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Betula",49.48,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Brassicaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Cyperaceae",25.77,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Fabaceae",NA,"Shrub",2
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Onagraceae",NA,"Shrub",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Picea",NA,"Trees",12
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Pinus",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Populus",NA,"Herb",6
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Salix",5.15,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Saxifragaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Sphagnum",2.58,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16532,10542,"Thalictrum",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Abies",NA,"Herb",0
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Alnus",0.8,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Artemisia",0.27,"Herb",13
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Betula",51.33,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Brassicaceae",0.27,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Cyperaceae",29.26,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Fabaceae",NA,"Shrub",2
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Onagraceae",NA,"Shrub",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Picea",NA,"Trees",12
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Pinus",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Populus",1.6,"Herb",6
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Salix",4.26,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Saxifragaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Sphagnum",1.33,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16533,11162,"Thalictrum",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Abies",NA,"Herb",0
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Alnus",0.28,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Artemisia",1.13,"Herb",13
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Betula",48.73,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Brassicaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Cyperaceae",29.75,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Fabaceae",NA,"Shrub",2
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Onagraceae",NA,"Shrub",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Picea",NA,"Trees",12
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Pinus",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Populus",NA,"Herb",6
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Salix",8.78,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Saxifragaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Sphagnum",1.42,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16534,11714,"Thalictrum",NA,"Trees",1
