ids,entitynum,region,site,londd,latdd,altitude,samplenum,agebp,minD,DJFPdelta,JJAPdelta,JJATdelta,DJFTdelta,Alnus,Apiaceae,Artemisia,Asteroideae,Betula,Buxus,Caryophyllaceae,Castanea,Chenopodiaceae,Cichorioideae,Corylus,Cyperaceae,Dipsacaceae,Ephedra,Ericales,Fagus,Hippophae,Ilex,Juglans,Juniperus,Lamiaceae,Pinus,Plantago,Plumbaginaceae,Poaceae,Quercus..deciduous.,Ranunculaceae,Rosaceae,Rubiaceae,Rumex,Salix,Thalictrum,Tilia,Ulmus,Urtica
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,1,0.07,0,0.75,2.0375,-0.7625,-0.3375,0.67,4.03,0,2.35,22.15,0,0.67,1.01,0,1.34,2.35,2.01,0,0,5.7,5.37,0,0,0,2.35,0,2.01,8.39,0,24.83,10.4,0,0.67,0,3.36,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,2,71.19,19.48951973,46.275,-7.25,-2.1625,0,0,0,0.99,0,64.14,0,0,0,0,0,1.64,0.99,0,0,2.96,3.95,0,0,0,1.32,0,0.99,1.64,0,8.55,7.89,0,0,0,1.64,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,3,172.77,23.19826422,27.7,-10.55,-1.4,-0.1375,0.66,2.62,0,0,59.02,0,0,0,0,1.31,0.66,0.98,0,0,2.62,2.3,0,0,0.98,0,0,0,1.97,0,12.79,9.51,0,0,0,1.64,0.98,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,4,274.36,10.90754561,0.5,-8.9875,-0.7,0.1125,0.66,4.29,0,0.66,27.39,0,0,0,0,0.66,0.99,1.98,0,0,5.61,4.62,0,0,0,0.99,0.66,1.32,2.64,0,17.16,24.42,0,0.99,0,3.63,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,5,375.95,15.14870463,4.0375,-11.4125,-0.5375,0.3625,1.25,3.13,1.57,0,25.08,0,0,0,0,0,3.13,1.57,0,0,4.7,5.64,0.63,0,0.63,1.57,0,1.57,0.63,0,21.63,22.26,0,0.63,0,2.82,0,0,0,0.63,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,6,477.54,9.502940253,5.5875,-12.6625,-0.825,0.5625,1.37,0.68,1.37,0.68,18.84,0,0,1.03,0,0.68,3.42,3.08,0,0,4.79,5.48,0,0,0,2.74,0,3.77,4.11,0,22.26,21.92,0,0,0,1.71,0,0,0,0,1.03
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,7,579.13,17.54545434,29.325,-9.825,-1.375,0,0,1.95,0,0,31.17,0,0.65,0,0,0.65,4.54,0.65,0,0,5.52,0,0,0.65,0,3.25,0,7.47,3.9,0,11.69,23.38,0,0.97,0,1.3,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,8,680.72,20.57977369,40.55,-3.775,-3.7375,-0.3625,0.61,0,0,0.61,18.65,0,0,0,0.61,0.61,8.26,3.36,0,0,4.28,0,0,0.92,0,1.22,0,18.04,3.06,0,9.17,25.69,0,0.62,0,2.14,0,0,0,0.61,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,9,782.31,15.85370953,-3.075,3.0875,-1.7625,-0.525,0,0.98,2.95,0.98,8.52,0,0,0,0.66,0,1.31,1.97,0,0,7.21,2.95,0,0,0.66,4.59,0,6.89,4.26,0,28.52,20.98,0,0.66,0,3.61,0,0,0.66,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,10,1015.96,17.68072139,30.6375,-13.5875,-1.4625,0.575,1.34,0,0,0,19.46,0,0,0,0,0.67,5.37,1.34,0,0,5.37,1.68,0,0,0,1.68,0,10.07,3.02,0,12.42,31.88,0,0,0,2.35,0,0,0,1.34,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,11,1087.07,21.23660404,42.7,-17.3875,-2.4125,-0.05,0,0,0.65,0,19.42,0,0,0,0,0,2.27,0,0,0,5.18,1.62,0,0,0,2.27,0,8.09,1.62,0,13.92,40.45,0,0,0,2.59,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,12,1215.44,20.72629653,27.25,-4.4125,-2.15,-0.1125,0.68,0,1.36,0,9.83,0,0,0,0,0.68,4.41,0.68,0,0,6.1,1.36,0,0,0,3.39,0,6.1,1.69,0,16.27,41.69,0,0,0,2.71,0,0,0,1.69,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,13,1343.8,21.62640092,14.9125,-6.9,-1.325,0.3375,1.33,0,0.67,0,9.67,0,0,0,0,0.67,4.33,0.67,0,0,6.67,1,1.33,0,0,0.67,0,5.67,4,0,16.67,42,0,0,0,2.33,0,0,0.67,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,14,1600.54,27.4426334,6.575,1.475,-1.0125,-0.175,0,0.7,0,0,27.37,0,0,0,0,0.7,9.12,1.75,0,0,5.96,0,0,2.46,0,0.7,0.7,7.37,2.11,0,10.53,25.96,0,0,0,2.46,0,0,0,1.05,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,15,1728.9,24.22237698,8.825,2.6375,-1.1875,-0.2125,0,1.91,0.64,0,25.48,0,0,0,0,0.64,6.37,1.27,0,0,6.05,0,0,1.27,0,1.91,0,6.37,2.87,0,12.74,27.71,0,0,0,3.18,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,16,1857.27,24.47399878,39.5,3.825,-4.275,-0.525,0,0.7,0.7,0,13.33,0,0,0,0,0,6.67,3.86,0,0,3.16,0,0,0.7,0,4.21,0,19.3,2.81,0,9.12,32.98,0,0,0,1.75,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,17,1985.63,21.14937223,31.5,0.2,-3.2,-1.65,0.69,0,0,0,19.59,1.03,0,0,0.69,0,9.97,1.37,0,0,6.87,1.03,0,0.69,0,1.72,0,9.97,2.06,0,9.97,29.9,0,1.02,0,1.72,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,18,2049.82,23.45536243,11.375,-5.95,-0.6625,0.6,0.71,0,0,0.71,18.86,0,0,0,0,0,11.39,2.85,0,0,3.56,0,0,0.71,0,1.78,0,6.05,4.63,0,12.81,28.47,0,0,0,4.27,0,0,0.71,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,19,2255.2,25.60015507,30.55,4.825,-3.4125,-2.0625,1.04,0,1.74,0,14.93,0,0,0,0.69,0,8.33,0,0,0,8.33,0,0,0,0,1.39,0,10.42,2.43,0,8.33,34.03,0,4.17,0,1.39,0,0,0,0.69,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,20,2370.73,21.97822946,38.4375,-5.1625,-2,0.2375,0.96,0.96,1.93,0,23.15,0,0,0,0,0,9.97,0.96,0,0,4.5,0,0,0.64,0,0.64,0,10.61,3.54,0,11.58,26.69,0,0.96,0,0.64,0,0,0,1.61,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,21,2499.1,23.64414411,48.1625,-8.3,-2.6375,0.25,1.04,0,5.19,0,22.15,0,0,0,0,0,8.3,1.38,0,0,3.46,0,0,0.69,0,1.04,0,10.73,5.88,0,6.57,29.07,0,1.73,0,1.04,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,22,2627.46,18.93312627,50.7125,-14.475,-3.7,2.1625,1.59,0,0,0,21.27,0,0,0,0,0,9.84,0,0,0,0.63,0,0,0.95,0,0,0,20.95,2.54,0,2.22,38.41,0,0,0,0,0,0,0,0.63,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,23,2755.83,26.92369546,32.2375,-13.2,-2.0125,-0.3375,0,0,0,0,26.53,0,0,0,0,0,13.95,0,0,0,2.04,0,0,0,0,0,0,6.8,1.02,0,14.29,30.95,0,0.68,0,1.36,0,0,0,1.7,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,24,2884.19,20.28226011,37.4625,-13.05,-2.0125,0.2375,1.25,0,0,0,23.36,0,0,0,0,0.62,10.9,0,0,0,1.87,0,0,0.62,0,0,0,9.35,1.87,0,7.79,39.56,0,0,0,0.93,0.62,0,0,0.62,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,25,3012.56,23.27108282,51.075,-10.5125,-2.7625,-0.125,0,0,0,0,30.31,0,0,0,0,0,11.15,0,0,0,0,0,0,0,0,0.7,0,14.29,0,0,10.1,28.92,0,1.05,0,0.7,0,0,0,0.7,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,26,3140.92,17.71897174,44.575,-8.075,-3.025,0.8875,0,0.61,0,0,12.46,0,0,0,0,0.91,11.55,0.61,0,0,1.22,0,0,0,0,0,0,38.6,0.61,0,6.08,24.92,0,0,0,0.61,0,0,0,0.91,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,27,3269.29,19.7851195,36.75,-3,-2.7375,0.0125,2.04,0,0.68,0,14.63,0,0,0,0.68,0.68,10.88,0,0,0,1.7,0,0,0,0,0,0,23.81,3.06,0,5.1,34.01,0,0,0,0.68,0,0,0,0.68,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,28,3384.82,23.03332774,53.6625,-17.4625,-2.325,2.975,0,0,0,0,25.77,0,0,0,0.69,0,11.68,0,0,0,0.69,0,0,0,0,0,0,17.18,2.06,0,7.9,30.24,0,0,0,1.03,0,0,0,0.69,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,29,3538.86,23.12146826,48.9375,-19.3625,-3.3,4.9625,0,0.62,0,0.93,23.99,0,0,0,0,0,23.36,0,0,0,2.49,0,0,0,0,0,0,13.71,1.25,0,2.8,24.92,0,1.25,0,0,0.62,0,0,3.12,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,30,3654.39,16.65208993,58.95,-17.875,-3.65,5.2625,0,0.62,0.62,0,20.68,0,0,0,0,0,17.9,0,0,0,0.93,0,0,0,0,0,0,19.44,0,0,2.78,29.94,0,0.62,0,0.62,0,0,0,4.32,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,31,3782.75,17.98901458,59.7375,-24.7625,-3.5875,5.375,0,0,0,0,19.39,0,0,0,0,0,19.05,0,0,0,0,0,0,0,0,0,0,14.97,0,0,4.08,31.63,0,2.04,0,0,0,0,0,7.48,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,32,3911.12,15.2125064,55.525,-16.5875,-3.025,3.4625,0.62,0,0,0,25.08,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,18.27,0.62,0,4.02,27.55,0,0.93,0,0.62,0,0,0,4.95,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,33,4039.48,19.22680313,54.2,-7.3375,-3.475,2.425,0,0.67,0,0,21.14,0,0,0,0,0,16.45,0,0,0,0,0,0,0,0,0.67,0,20.47,0,0,4.03,28.19,0,2.01,0,0,0,0,0,4.03,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,34,4167.85,21.7950315,52.7,-27.0375,-3.0375,5.6125,0.64,0,0,0,22.83,0,0,0,0,0,19.61,0,0,0,1.93,0,0,0,0,0,0,13.18,0,0,3.22,32.15,0,1.29,0,1.29,0,0,0,3.22,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,35,4296.21,19.22492094,44.625,-8.5375,-2.7125,2.175,0.61,0,0.61,0,19.57,0,0,0,0,0,21.72,0,0,0,0.61,0,0,0,0,0,0,17.74,0,0,4.28,25.99,0,1.53,0,0.92,1.22,0,0,4.28,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,36,4424.58,21.98027399,50.8125,-25.8625,-2.6375,5.8,0.67,0,0,0,22,0,0,0,0,0,23.67,0,0,0,1.33,0,0,0,0,0,0,13,0,0,3,26.33,0,1.67,0,1,0,0,0,6.33,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,37,4552.94,25.50036501,34.5375,-16.6125,-2.1625,1.8875,0,1.57,0,0,16.61,0,0,0,0,0,22.26,0,0,0,1.88,0,0,0,0,0,0,18.81,0,0,4.08,20.06,0,3.13,0,0,0,0.63,0,9.4,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,38,5059.17,18.47788319,44.3125,-23.575,-2.3375,3.5,0,0,0,0,22.32,0,0,0,0,0,20.83,0.6,0,0,0,0,0,0,0,0,0,18.45,0.89,0,3.57,22.32,0,1.19,0,1.19,0,0,0,7.14,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,39,6031.67,23.02631491,54.4625,-18.0875,-3.025,3.3625,0,0,0.69,0,16.61,0,0,0,0,0,13.84,0,0,0,1.73,0,0,0,0,0,0,24.57,0,0,3.11,36.33,0,1.73,0,0,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,40,6827.35,21.86018887,48.5375,-10.4625,-3.3375,2.2625,0,0,0,0,17.2,0,0,0,0,0,14.97,0,0,0,1.27,0,0,0,0,0,0,25.16,0,0,3.5,33.44,0,1.59,0,0.64,0.96,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,41,7711.43,23.06549883,32.3375,-28.7125,-2.8375,-0.175,0,0.57,0,0,15.58,0,0,0,0,0,16.14,0,0,0,1.13,0,0,0,0,0,0,19.83,0,0,4.25,39.66,0,1.98,0,0.57,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,42,7964.11,20.16587407,28.2125,-52.4625,-2.7125,0.7125,0,0,0,0,8.77,0,0,0,0,0,13.31,0,0,0,0.97,0,0.65,0,0,0,0,27.6,0,0,2.6,42.21,0,2.27,0,0,0.65,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,43,8233.06,9.395706253,59.1625,-8.325,-3.3625,1.3625,0,0,0,0,8.83,0,0,0,0,0,2.52,0,0,0,0.63,0,0,0,0,0,0,40.06,0,0,6.31,38.8,0,0,0,0.63,0.63,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,44,8502,8.573372887,53.9625,-22.4875,-4.275,3.3125,0,0,0,0,11.63,0,0,0,0,0.66,0,0,0,0,0.66,0,0,0,0,0,0,48.84,0,0,2.66,32.23,0,0,0,1.33,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,45,8770.95,10.08944806,57.075,-10.8125,-2.9625,0.7,0,0.63,0,0,13.92,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,34.49,1.27,0,7.59,40.19,0,0,0,0,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,46,9308.84,14.38021476,63.325,-8.1,-2.8625,1.0375,0,0.65,1.29,0,20.32,0,0,0,0,0.65,0.65,0,0,0,0,0,0,0,0,0,0,27.1,1.29,0,12.9,29.68,0,1.61,0,2.9,0.97,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,47,9577.78,13.22127803,59.1625,-14.5125,-3.8625,1.6625,0,0,0.61,0,22.8,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,31.91,0,0,5.78,33.74,0,0.91,0.61,0.61,0.91,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,48,9873.62,14.01925134,68.825,-8.6,-3.1375,1.85,0.66,1.97,1.31,0,20.98,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,29.51,0,0,10.16,28.85,0,0,0,1.97,1.31,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,49,10115.67,15.71304583,53.2,-17.425,-3.725,1.325,0,0,0.65,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0.97,0,6.13,31.29,0,0,0,2.58,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,50,10384.62,13.25725348,60.2,-21.75,-2.7,2.7375,0,1.67,1.67,0,20.07,0,0,0,0,2.34,0.67,0,0,0,0,0,0,0,0,0.67,0,47.83,2.34,0,6.35,12.71,0,0.67,0,2.01,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,51,10653.56,18.02564873,57.225,-12.925,-2.325,1.875,0,0.99,3.29,0,35.86,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.99,0,22.37,3.29,0,9.87,18.09,0,1.32,0,1.32,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,52,10922.51,21.09723918,67.0375,-14.7875,-2.6875,2.8125,0,2.43,3.12,0.69,19.1,0,0.69,0,0,5.9,0.69,1.04,0,0,0,0,0,0,0,0,0,40.28,0.69,0,14.24,7.99,0,0,0,2.78,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,53,11191.45,17.98941888,64.325,-13.4125,-2.4625,2.8,0,0.66,2.65,0,29.8,0,1.32,0,0.99,1.99,0,0,0,0,0.66,0,0,0,0,0.99,0,34.44,0.99,0,14.9,6.29,0,0.99,0.99,1.66,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,54,11460.39,17.24849795,57.1875,-12.425,-1.7875,2.5875,0,0,8.52,1.97,5.9,0,0.98,0,1.31,0.98,0,0.98,0,0,0.66,0,0,0,0,0,0,53.44,1.64,0,20.33,0.66,0,0.66,0,0.98,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,55,11865.96,21.93380653,37.3625,-3,-2.525,1.9875,0,1.26,16.72,1.26,1.58,0,0,0,2.21,1.26,0,0.63,0,0,0,0,0,0,0,0,0,42.27,2.84,0,22.4,0.95,0.63,0.95,0,4.1,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,56,12271.52,12.80028235,71.0125,-11.6,-3.325,3.45,0,0.7,3.87,0,11.27,0,1.06,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,57.39,0,0,12.68,2.82,0.7,0,0,4.93,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,57,13123.19,14.59137943,60.0875,-15.8625,-2.525,3.25,0,0.64,6.37,0,8.92,0,0,0,0,0.96,0.96,0,0,0,0,0,0,0,0,0,0,61.78,1.59,0,9.87,2.23,0,0.64,0,4.46,0.64,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,58,13285.42,14.19695185,70.25,-10.15,-3.1875,2.9875,0,0,3.38,0,14.35,0,0,0,0.84,1.69,0,0,0,0,0,0,0,0,0,1.27,0,50.63,0.84,0,15.61,5.49,0,0,0,3.8,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,59,13488.2,23.3090267,68.325,-17.0875,-3.125,3.3125,0,0.64,5.1,0.96,35.67,0,0,0,0,1.91,2.23,0.64,0,0,0.64,0,0,0,0,2.23,0,13.69,2.23,0,25.16,0,0,0,0.64,7.01,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,60,13690.98,24.76708229,57.875,-11.25,-2.2875,5.825,0,0,15.29,1.76,3.82,0,0,0,3.82,0.59,0,1.76,0,0.88,1.47,0,0.59,0,0,1.47,0,31.18,3.82,0,28.24,0.59,0,0,1.18,2.06,0,0.59,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,61,13893.75,26.1592642,58.2,25.1375,-7.2125,-3.1625,0,0,22.76,1.6,0,0,0.64,0,4.81,0,0,0.64,0,0.64,0.64,0,0,0,0,1.28,0,29.81,4.49,0,26.92,0,0,0,0,3.85,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,62,14299.32,22.65789335,76.5375,16.4375,-3.3125,9.5125,0,0,27.38,1.85,0.92,0,1.54,0,7.38,0,0,0.62,0,1.23,0,0,0,0,0,1.85,0,21.54,1.85,0,29.85,0,0.62,0.92,1.23,0,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,63,14704.88,22.49187654,51.2,25.975,-6.8875,-2.4125,0,0,27.85,2.35,0,0,0,0,5.37,0.67,0,0,0,0.67,0,0,0,0,0,0.67,0,29.19,2.68,0,23.15,0,0,1.35,2.68,2.68,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,64,15110.44,21.73975165,54.5375,10.425,-3.775,5.8125,0,0,24.27,2.27,0,0,1.29,0,3.24,0,0,0.65,0,0,0,0,0,0,0,0,0,32.36,1.29,0,32.04,0,0,0,0,0.97,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,65,15516,23.07009856,66.0875,16.475,-3.6375,7.725,0,0,24.27,0.88,0,0,0.58,0,4.09,0,0,2.05,0,1.17,0.58,0,0.58,0,0,0,0,35.38,2.34,0,26.32,0,0,0,0,1.17,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,66,15921.56,22.86983794,69.0375,16.1375,-3.9875,7.3125,0,0,29.67,0.73,0,0,0,0,6.96,0.73,0,1.47,0,2.2,0,0,0,0,0,0,0,26.74,2.2,0,21.61,0,0,0.73,2.56,1.47,0,0.73,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,67,16124.34,17.87515917,56.5375,20.0125,-5.8875,0.6375,0,0,28.28,0.67,0,0,1.01,0,5.39,0,0,0,0,1.68,0,0,0,0,0,0.67,0,31.65,1.68,0,25.25,0,0,0,1.01,1.01,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,68,16529.9,18.93389309,71.0375,20.2625,-5.65,2.1,0,0,28.21,0.73,0.73,0,0,0,9.52,0.73,0,0,0,0.73,0,0,0,0,0,0.73,0,25.64,2.56,0,24.54,0,0,0,1.47,2.2,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,69,17178.79,16.46999669,76.65,-12.625,-3.5875,3.4875,0,0,7.95,0.99,13.58,0,0,0,1.32,0.66,1.99,0.99,0,0,0.99,0,0,0,0,1.32,0,32.12,3.31,0,20.53,9.93,0,0,0,0.99,0,0,0,1.66,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,70,17949.36,27.22340971,80.8,21.85,-3.35,9.575,0,0,17.73,1.36,0,0,1.36,0,7.27,0,0,0.91,0,1.82,0,0,0,0,0,0,0,26.36,0,0,36.36,0,2.73,0,0,1.82,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,71,18557.7,30.71258467,47.45,-10.9125,-1.1125,4.0125,0,0,12.27,3.07,1.84,0,0,0,8.59,0,0.61,0,0,0.61,0,0,0,0,0,0,0,26.38,1.84,1.23,38.65,0.61,2.45,0.61,0.61,0,0,0,0,0.61,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,72,19166.03,14.53146691,58.9125,29.5125,-6.65,-0.5625,0,0,36.06,1.44,0,0,0,0,6.73,0.96,0,0,0,0.96,0,0,0,0,0,0,0,21.63,1.92,0,28.85,0,0,0,0,0,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,73,19774.37,22.78854351,34.2125,22.05,-5.95,-2.2125,0,0,16.18,2.07,0,0,0,0,7.47,0,0.83,0,0,1.24,0,0,0,0,0,0,0,35.68,0,0,31.95,1.66,0.83,0,0,0,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,74,20382.71,19.28347102,67.4125,27.05,-4.7875,4.6625,0,0,36.67,2,0,0,0.67,0,9.33,0,0,0,0,1,0,0,0,0,0,0,0,27,1.67,0,18.33,0.67,0,0,1,1,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,75,21234.39,15.25551282,73.0375,-10.9125,-3.65,2.925,0,0,1.69,0,11.53,0,0,0,0,0,3.39,0.68,0,0,0,0,0,0,0,0,0,48.14,3.05,0,14.92,9.83,0,0,0,3.73,0,0.68,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,76,22207.73,27.62130399,61.6125,16.6875,-6.275,1.6875,0,0,26.29,2.58,0,0,0,0,1.03,0,0,0,0.52,1.55,0,0,0.52,0,0,0,0,19.07,1.55,0,44.85,0,1.04,0,0,1.03,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,77,23221.63,21.49129146,84.575,13.5125,-5.375,11.8875,0,0,43.75,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,37.5,0,0,0,0,6.25,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,78,24194.98,18.54183433,84.025,17.6875,-3.825,10.375,0,0,36.25,3.75,0.62,0,0.62,0,6.25,0.62,0,0,0,4.38,0,0,0,0,0,0,0,15,0,0,32.5,0,0,0,0,0,0,0,0,0,0